ID	Title	Genres	Overview	Release Date	revenue	Running Time (minutes)	tagline	MPAA Rating	Actors
3001	42nd Street	"Musical, Comedy, Romance"	"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star."	2/2/1933	2281000	89	"OK. Say, Jones and Barry are doin' a show! - That's great. Jones and Barry are doin' a show."	Unrated	"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Guy Kibbee, Una Merkel"
3002	It Happened One Night	"Comedy, Romance"	"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!"	2/22/1934	4500000	105	TOGETHER... for the first time	Unrated	"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale"
3003	Snow White and the Seven Dwarfs	"Fantasy, Animation, Family"	"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."	12/20/1937	184925486	83	"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."	G	"Adriana Caselotti, Lucille La Verne, Harry Stockwell, Roy Atwell, Pinto Colvig, Otis Harlan"
3004	The Wizard of Oz	"Adventure, Family, Fantasy"	"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them."	8/15/1939	33754967	102	"We're off to see the Wizard, the wonderful Wizard of Oz!"	PG	"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke"
3005	Mr. Smith Goes to Washington	"Drama, Romance, War"	"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed on a lark by the spineless governor of his state. He is reunited with the state's senior senator--presidential hopeful and childhood hero, Senator Joseph Paine. In Washington, however, Smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, Jim Taylor. Taylor first tries to corrupt Smith and then later attempts to destroy Smith through a scandal."	10/19/1939	9600000	129	"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!"	Unrated	"James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell"
3006	Gone with the Wind	"Drama, Romance"	An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.	12/15/1939	400176459	238	The greatest romance of all time!	G	"Vivien Leigh, Clark Gable, Olivia de Havilland, Thomas Mitchell, Leslie Howard, Barbara O'Neil"
3007	Casablanca	"Drama, Romance"	"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."	11/26/1942	10462500	102	They had a date with fate in Casablanca!	PG	"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet"
3008	It's a Wonderful Life	"Drama, Family, Fantasy"	"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin."	12/20/1946	9644124	130	It's a wonderful laugh! It's a wonderful love!	PG	"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi"
3009	Annie Get Your Gun	"Comedy, Musical, Romance, Western"	"This film adaptation of Irving Berlin's classic musical stars Betty Hutton as gunslinger Annie Oakley, who romances fellow sharpshooter Frank Butler (Howard Keel) as they travel with Buffalo Bill's Wild West Show. Previously off target when it comes to love, Annie proves you can get a man with a gun in this battle-of-the-sexes extravaganza, which features timeless numbers like ""Anything You Can Do"" and ""There's No Business Like Show Business."""	5/17/1950	8000000	107	Biggest musical under the sun!	Unrated	"Betty Hutton, Howard Keel, Louis Calhern, J. Carrol Naish, Edward Arnold, Keenan Wynn"
3010	A Streetcar Named Desire	Drama	Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.	9/18/1951	8000000	125	"...Blanche, who wanted so much to stay a lady..."	PG	"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, Rudy Bond, Nick Dennis"
